name,type,startTime,endTime,description,speakerNames
Daily Sips with Turning Tables | Thursday,Session,"3/25/2021, 4:35:00 PM","3/25/2021, 4:40:00 PM","Kickoff happy hour and head into our NOEW @ Night series with a cocktail in hand. Featuring Exclave Spirits, Seven Three Distilling, and El Guapo Bitters, watch this daily demo, presented by Turning Tables so you can ma ke the perfect drink at home. If you’re local, pick up the cocktail kit for each night at Grande Krewe Fine Wine & Spirits .Thursday's featured cocktail:THE BIG IDEAShake1.5oz 73 St. Roch Vodka.5 Lemon3/4oz El Guapo Rose CordialAdd Ice & ShakeTop with Luzianne Green Tea with Watermelon2x El Guapo Love Potion #9",TOURÉ FOLKES
The Power of the Entrepreneur: Driving Inclusive Growth in Communities | presented by JPMorgan Chase,Session,"3/25/2021, 4:50:00 PM","3/25/2021, 5:40:00 PM","Join Caron Washington, Wealth Vice President from J.P. Morgan Chase’s Advancing Black Pathways initiative to hear from thought leaders in the entrepreneurial space about the influence of the small business owner on the growth of the economy, how to grow and scale, and the impact on communities.Luck is what happens when preparation meets opportunity. Two amazing entrepreneurs, Jennifer Lyle of Lush Yummies Pie Company based in Detroit and Wendy Burns of Newburns Management group in New Orleans share their incredible entrepreneurial stories of grit, resilience, and growth.  Leyonna Barba, Executive Director from the J.P. Morgan Chase Tech and Disruptive Commerce banking group adds perspective as an advisor across industries along with advice on capital raising at each stage and how to build critical businesses relationships.    Two critical steps to being a successful business owner: start and never give up.  Together we can create a thriving community.",WENDY BRUNET BURNS ; LEYONNA BARBA ; JENNIFER LYLE ; CARON WASHINGTON
Thursday NOEW @ Night | presented by JPMorgan Chase,Session,"3/25/2021, 5:40:00 PM","3/25/2021, 6:40:00 PM","NOEW @ Night is back at Tipitina’s with a continuation of the conversation from the prior session presented by J.P. Morgan Chase & Co. on driving inclusivity in communities. A high impact session, hosted by Derrick Strozier & Kenny Welcome from J.P. Morgan Chase & Co, we'll dive right into the keynote session for the evening, “Leading in an Equitable and Regenerative Future: a conversation with Lisa P. Jackson.""New Orleans native, Lisa P. Jackson is defining the future of business and sustainability.  Recognized by Fast Company as one of the “100 Most Creative People in Business”, and twice as one of TIME Magazine’s “100 Most Influential People in the World,” Lisa was the first African American to serve as the head of the Environmental Protection Agency, during the Obama administration.  Today, Lisa leads environmental initiatives, global community education programs, product accessibility efforts, corporate giving, and worldwide government affairs for Apple, Inc. where she is driving Apple’s efforts to be carbon neutral by 2030 and spearheading the company’s $100M pledge to address racial equity and justice.  Representative of a new generation of intentional leader within the corporate and government sectors, Lisa leads with urgency and a moral imperative to tackle big systemic problems and to lead complex collaborations to make the world a better place.  A chemical engineer by training, Lisa started her incredible journey in New Orleans and at Tulane University.  Lisa sits down with Debra Langford, Executive Director of J.P. Morgan Chase’s Advancing Black Pathways initiative and a media, diversity and inclusion leader, and former general manager of Essence Entertainment, to discuss Lisa’s journey from New Orleans to senior leadership roles in government and the corporate boardroom, the role of technology companies in building a brighter future, and opportunities for businesses to engage with diverse suppliers and new entrepreneurs.Following Lisa and Debra’s conversation, the evening concludes with a new hyper-local NOLA collective of 20+ local artists & producers, called GLBL WRMNG, spearheaded by Pell and New Orleans music professional Nate ""Suave"" Cameron. GLBL WRMNG recently released glbl wrmng vol. 1, an ode to the strength and resilience of their beloved hometown and emphasizes the city’s heroic survival. Special thanks to Tipitina’s and Elephant Quilt Productions, for making this night possible.",DEBRA LYNN LANGFORD ; DERRICK STROZIER ; LISA P. JACKSON ; KENNY WELCOME ; GLBL WRMNG
Friday Daily Briefing,Session,"3/26/2021, 10:00:00 AM","3/26/2021, 10:12:00 AM","Tune into NOEW’s morning briefing to catch the latest news, highlights, and schedule updates for the week, plus special announcements and giveaways.",
Friday Coffee with Cubs | presented by French Market Coffee,Session,"3/26/2021, 10:12:00 AM","3/26/2021, 10:28:00 AM","Grab your cup of joe and join Cubs the Poet each morning  for a roundtable discussion between a local New Orleans artist, and a local New Orleans tech startup entrepreneur. The three parties will engage in conversation surrounding the driving forces in their founder journey for their respective industries, connecting the similarities between the two. Friday's session features Marco Nelson of RentCheck , and multidisciplinary artist Phlegm.",MARCO NELSON ; PHLEGM .
Young Entrepreneurship Forum | presented by Junior Achievement,Session,"3/26/2021, 10:30:00 AM","3/26/2021, 10:55:00 AM","The Young Entrepreneurs Forum presented by Junior Achievement is a panel that looks toward the future of entrepreneurship here in Louisiana. Featuring local entrepreneurs as well as past mentors and students from the Trust Your Crazy Ideas Challenge, the panel seeks to inspire the next generation of entrepreneurs right here in Louisiana.",
Trust Your Crazy Ideas Challenge 2021 State Finals,Session,"3/26/2021, 11:00:00 AM","3/26/2021, 12:00:00 PM","The Trust Your Crazy Ideas Challenge 2021 State Finals  features four teams of high school students pitching their own Crazy Ideas for a shot at up to $10,000 in scholarships! After working with mentors for months to develop their business plans and perfect their pitches (and winning their own local pitch competitions), finalist teams from New Orleans, Baton Rouge, Lafayette, and Shreveport months will pitch their Crazy Ideas to determine who will be the 2021 State Champion.Since 2013, the Trust Your Crazy Ideas Challenge has awarded over $250,000 in scholarships to entrepreneurial students and their schools across Louisiana. For the 2020-21 school year, the Challenge went entirely virtual and worked with nearly 7,000 high school students across the state.The Trust Your Crazy Ideas Challenge is presented by Junior Achievement of Greater New Orleans, The Brees Dream Foundation, and Chick-fil-A New Orleans.",
The Power of Now in the Future of Venture Capital,Session,"3/26/2021, 12:05:00 PM","3/26/2021, 12:35:00 PM","Marlon Nichols is a founding partner of MaC Venture Capital  a seed-stage venture fund focused on technology companies that create infectious products that benefit from shifts in cultural trends and behaviors in an increasingly diverse global marketplace.  He is a founder of a top decile venture fund in Cross Culture Ventures, A Kauffman Fellow and former Investment Director at Intel Capital where he helped launch a $125M diversity fund.  Marlon is a recipient of Digital Diversity’s Innovation & Inclusion Change Agent award and was named as one of Pitchbook’s 25 Black Founders and VCs to Watch in 2018, 2019, and 2020.A former professional athlete and Cornell MBA alumni, where he competed in the IDEAcorps competition at NOEW, Marlon uses sports leadership philosophy and his vast professional accrued over many years as an investment professional and integral member of the Los Angeles startup community to work closely with founders and CEOs to build the ventures of tomorrow.Marlon sits down with local entrepreneur, angel investor and The Idea Village’s 2021 board chair, David Barksdale to discuss his work in finding and funding world-class founders across the world as well as his work in bolstering the diversity, equity, and inclusion of startups and venture capital, which he'll touch on while discussing his career from his time in New Orleans and beyond.",DAVID BARKSDALE ; MARLON NICHOLS
We Like Our Roux Dark Brown...,Session,"3/26/2021, 12:40:00 PM","3/26/2021, 1:05:00 PM","Preserving the presence of black and brown culture bearers, creatives and doers that are so deeply rooted in our City's makeup. We Like Our Roux Dark Brown will discuss how the mix of the ingredients is so very important but the roux (our people) must continue to be inspired and ""stirred"".",TIYANA JORDAN
Learn How to Infuse Human-Centered Thinking into Your Organization to Navigate Changing Tides,Session,"3/26/2021, 1:10:00 PM","3/26/2021, 2:10:00 PM","Come camera-ready for this collaborative session!Consider the people of your organization – your customers, employees, shareholders, etc. These people hold the power to help you understand the future. Through their eyes (i.e. their needs, experiences, and connections) an organization can see the future. The ability to understand what comes next empowers an organization to make stronger decisions in the near-term, in areas such as product/service design, customer service, employee satisfaction, etc. Is your organization currently doing enough to harness that power? The key to navigating the changing tides of our ecosystem – from new trends to natural disasters – lies within a fluid practice: Human-Centered Design. A Human-Centered approach eliminates assumptions, surfaces implicit bias, and breaks down the walls of organizational thinking to explore possibility through the lives of people who care about, are influenced by, and could potentially be interested in what your organization has to offer. Organizations that harness this approach as a way of business have a wealth of information at their fingertips to better serve their people at all levels and in all situations. Join trepwise for an  interactive workshop on how to begin paving the road to a Human-Centered approach for your organization.",ALLISON SCHILLER ; LAUREN SIEGEL
Paving New Roads to Viability During Challenging Times,Session,"3/26/2021, 2:25:00 PM","3/26/2021, 2:50:00 PM","This past year has been hard on New Orleans; driving our entrepreneurs, small and medium-sized businesses to fight for their lives or fold. It also provided an unparalleled opening to not only change business models and/or shift target market focus, but impact the communities we live, work and take pleasure in.",WESLEY (WES) PALMISANO
Unconventional Times Call for Unconventional Women,Session,"3/26/2021, 2:55:00 PM","3/26/2021, 3:25:00 PM","Advocacy doesn't have to be intimidating. Making a lasting impact isn't impossible. In this talk, we will help expand the perception of social impact by challenging audience members to start small but creatively when solving worldwide problems. Powerful women lead by example by taking action in the now. In a world where the status quo is called into question everyday, unconventional times are requiring women to think outside the box and, ultimately, BE unconventional.",RAINA VALLOT ; SHERIN DAWUD
What’s Your Plan B?,Session,"3/26/2021, 3:30:00 PM","3/26/2021, 3:56:00 PM",What do you do when you can’t work? Living through a pandemic? What is necessary as an entrepreneur to survive. Artistprenur and new mother Robin Barnes shares her journey.,ROBIN BARNES
What Are VCs Looking for in Today's Market?,Session,"3/26/2021, 4:00:00 PM","3/26/2021, 4:30:00 PM","When COVID threw us all into a lifestyle of Zoom, Zoom, Zoom, many thought the VC funding environment would grind to a halt. But instead, we saw the exact opposite. Seed funding has boomed with investors screening and funding more companies than ever before, while founders and funders alike have modified their processes to effectively meet and partner with one another. In this time of great consumer change, Sara will discuss how VCs are doing business in this new landscape, and some of the big trends they're funding.",SARA DESHPANDE
Daily Sips with Turning Tables | Friday,Session,"3/26/2021, 4:35:00 PM","3/26/2021, 4:40:00 PM","Kickoff happy hour and head into our NOEW @ Night series with a cocktail in hand. Featuring Exclave Spirits, Seven Three Distilling, and El Guapo Bitters , watch this daily demo, presented by Turning Tables so you can ma ke the perfect drink at home. If you’re local, pick up the cocktail kit for each night at Grande Krewe Fine Wine & Spirits. Friday's featured cocktail:ENTREPRENEURIAL SPIRITShaken2oz Exclave3/4oz El Guapo Orgeat3/4 Lime1x Angostura BittersAdd Ice & Shake",TOURÉ FOLKES
NOEW @ Night | Friday Closing Party presented by Revelry,Session,"3/26/2021, 5:00:00 PM","3/26/2021, 7:00:00 PM","The final NOEW @ Night has arrived LIVE from the Broadside in New Orleans.First up a panel: New Orleans Startup Success StoriesFrom recent acquisitions to funding rounds, a handful of New Orleans-based startups have hit impressive milestones in their entrepreneurial journeys. This panel, led by Revelry Venture  Partner’s Peter Liu, will highlight the recent wins of four high-growth ventures doing amazing work in their industries. Join this panel to hear the success stories of Sevetri Wilson, CEO of Resilia; Libby Fischer, COO of SchoolMint; Scott Wolfe, CEO of Levelset; and Matt Wisdom, CEO of Turbosquid. Then we’ll be closing out the week with IDEApitch, NOEW’s culminating event featuring three local founders taking the stage to compete for a $50,000 investment prize from The Idea Village.DJ Raj Smoove will bring us home up on the decks with your favorite tunes.Want to be part of the live broadcast audience? Choose the “VIP Upgrade” during registration to join us at this outdoors, socially distanced event.","GARY SOLOMON, SR. ; PETER LIU ; SEVETRI WILSON ; SHEBA TURK ; SPOT2NITE . ; MATT WISDOM ; SCOTT WOLFE ; LIBBY FISCHER ; SOMETHING BORROWED BLOOMS ; HAMPR ."
