firstName,lastName,company,title,biography,facebookUrl,twitterUrl,linkedInUrl,profileImageUri,links
MELANIE,REUPKE,Material Institute,Multi-Disciplinary Artist,"Melanie Reupke has lived and worked in New Orleans for nearly 15 years. She is a multi-disciplinary artist primarily working in photography and textiles. Her work has been featured locally at the Antenna, Le Mieux, and Second Story galleries. Currently a design student at the Material Institute of New Orleans, her work is inspired by her experience with personal transformation, the natural world, and the archetype of the divine feminine. She places an emphasis on reuse/recycle and focuses primarily on repurposed fabrics for her designs. Her most recent collection, ""Dreamweaver"" features elegant, voluminous silhouettes with a mixture of masculine and feminine elements. In her continuing studies at the Material Institute, she will be shifting her focus to the patterns of nature through more structured, tailored garments while incorporating natural dyeing and block printing techniques.",,,,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/c990187fee0e4f33a9c1180d3bf1c44e.jpeg,INSTAGRAM - https://www.instagram.com/peace_queen_504/
SIMONE,SPENCE,Athena Collects (formally Don't Get Mad Get Paid),Founder and CEO,"Simone Spence founded Athena Collects to help women collect back child support without having to hire a lawyer. As a consultant, speaker, and author she had already helped thousands of women to collect millions of dollars when she turned tech. She hired developers to build a software solution that she designed to productize her methodology and then she built a company around it. Today Athena finds absent parents and their assets and generates state-specific and customized legal documents so that moms can collect what’s owed to them.",,,https://www.linkedin.com/company/athenacollects,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/dc9e700c435245c69a01311bc90d59cf.png,WEBSITE - http://athenacollects.com
JUSTIN R.,EHRENWERTH,The Water Institute of the Gulf,President & CEO,"Justin R. Ehrenwerth was appointed the second President of the Water Institute in January 2017. Previously, Ehrenwerth served as the Executive Director of the Gulf Coast Ecosystem Restoration Council, charged with using Deepwater Horizon penalties to restore the Gulf’s economy and environment. 

Ehrenwerth previously served as Chief of Staff to the U.S. Deputy Secretary of Commerce. Earlier, Ehrenwerth served as Assistant Counsel to the President where he took the lead on Deepwater Horizon litigation for the White House. 

Ehrenwerth is a summa cum laude graduate of Colby College, holds an M.A. in philosophy, politics and economics from the University of Oxford, and a J.D. from the University of Pennsylvania Law School. Ehrenwerth has held leadership positions on a number of national political campaigns and currently serves on the Board of Directors of Touro Synagogue.  He and his wife, Dana Dupré, reside in New Orleans with their two sons.",,https://twitter.com/TheH2OInstitute,https://www.linkedin.com/in/justin-ehrenwerth-65426199/,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/536c8471cc854847b7dda576f37d7cc4.jpg,WEBSITE - https://thewaterinstitute.org/
MICHAEL,CROSS,Entergy Corporation,Vice President of Innovation,"he/him/his

Michael is the innovation leader for Entergy, building new products and services to enable the premier utility. His group, KeyString Labs, is re-imagining the future of the industry and bringing new ideas to life through focusing on the customers’ needs. 

Most recently Michael led the digital transformation and innovation for six years at AAA Insurance, which covered 23 states. Prior to that he worked in the Sidney Garfield Innovation Center for Kaiser Permanente, where he led all mobility products across clinicians and customers. His belief system centers on understanding customers’ frictions and delivering new products through a proven methodology that focuses on customer experience and leverages technology. 

In 2019 he relocated from California to the Greater New Orleans area with his wife, two children, and two dogs . . . and they love it!",,,https://www.linkedin.com/in/mtcdigital/,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/d341446a13f1440492b401e7a0acb17a.jpg,WEBSITE - https://keystringlabs.entergy.com/
SPOT2NITE,.,,,"Spot2Nite offers users the ability to find and book vacant RV camping spots that meet their needs and criteria.

Founders:
Terry Broussard, CEO
Sam Bruner, President",https://www.facebook.com/spot2nite,,https://www.linkedin.com/company/spot2nite,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/5365cfd7aa34455388de73b65a838e9d.jpg,WEBSITE - https://www.spot2nite.com/ ; INSTAGRAM - https://www.instagram.com/spot2nite/?hl=en
SAM,MCCABE,Junior Achievement of Greater New Orleans,Impact Manager for Entrepreneurship,"he/him/his

Since receiving his masters in higher education administration from LSU in 2018, Sam has focused his work on entrepreneurship education throughout Southeastern Louisiana to encourage the next generation of leaders right here in our community by working with Junior Achievement of Greater New Orleans on the Trust Your Crazy Ideas Challenge. Sam is an avid hockey fan, a craft beer enthusiast, and a sucker for a good dad joke.",,https://twitter.com/_george_samuel_,https://www.linkedin.com/in/gsmccabe/,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/f1490d5a4f5040c0b6b003e85ce64e9e.png,WEBSITE - https://www.trustyourcrazyideaschallenge.org/
TANYWEY,.,Material Institute,Songwriter | Vocalist,"she/her/hers

Tanywey is a songwriter and vocalist based in New Orleans, LA. She brings a blues sensibility to a range of genres, including trap, funk, rock, soul, and punk performances. Tanywey’s background as a poet comes through in her emphasis on lyricism and sound play. Her work draws sonic connections between musical traditions of the the past and present, including an ongoing project in which she covers jazz and blues standards as trap songs. Tanywey released her debut album, EMPATH, on Earth Day 2020. EMPATH draws from rock influences to craft a soulful sound that resonates with raw emotional transparency.",https://www.facebook.com/tanyweymusic,,,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/0e92fb0b27774588a90b29d7bb448eab.jpg,WEBSITE - https://ffm.to/tanywey ; INSTAGRAM - https://www.instagram.com/tanywey/
TRIVIA,FRAZIER,"Obatala Sciences, Inc",President and CEO,"Dr. Trivia Frazier, a native of New Orleans, is the Co-Founder, President, and CEO of Obatala Sciences, Inc. She holds bachelor's degrees in Physics and Biomedical Engineering, an MBA, and a Ph.D. in Biomedical Sciences. Dr. Frazier completed her postdoctoral work at Pennington Biomedical Research Center. She has trained and collaborated with national and international key opinion leaders and held Academic Chair appointments prior to her leadership role at Obatala. Dr. Frazier has received numerous awards, including gambit’s and Dillard University’s 40 under 40, the UNCF MASKED award, and the Woman of Distinction award. Dr. Frazier is an Advisory Board member for reopening the city of New Orleans during the Covid-19 pandemic recovery. Dr. Frazier is also a wife and mother of three boys. She is dedicated to growing her firm in the City of New Orleans and lifting up the next generation of local talent.",,https://twitter.com/trivia_wiltz?lang=en,https://www.linkedin.com/company/obatalasciences,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/7f005faab46f4e81853324f69edf1140.jpeg,WEBSITE - https://www.obatalasciences.com/
JAMES,CATALANO,CICADA,Partner,"A professional architectural designer and founding partner of CICADA, James Catalano is head of design and technology research at CICADA, implementing aerial photogrammetry, 3D printing, and scan-to-BIM. He specializes in digital modeling, 3D printing, laser scanning, aerial photography, video editing, and video animation, with over a decade of experience modeling high definition buildings and objects throughout the country. Notable projects include 800,000 square feet of 3D modeling and 1.8 million square feet of digital modeling quality control for the New Orleans’ Mercedes Benz Superdome, and a full documentation and renovation of the Historic Landmark Theater renovation at 1733 Constantinople, utilized for historic tax credit documentation. 

James kickstarted his architectural design career in disaster recovery, designing hundreds of homes for families who experienced catastrophic flooding in Louisiana and Texas. James's approach to construction and design is highly collaborative, exercising a bold and expressive aesthetic while remaining environmentally sensitive and consciously attuned to each client’s specific needs.

A native of New Orleans, James graduated with a Bachelor of Architecture from the Louisiana State University College of Art and Design, during which time he also studied at the Washington Alexandria Architecture Consortium (WAAC). Prior to CICADA, James and his wife Adrienne co-founded a digital modeling and fabrication business, Future Factory 3D. Alongside his architectural work, James reinvests in the community by teaching courses on the basics of 3D printing and 3D scanning and by co-hosting The Swarm podcast.",,https://twitter.com/____cicada,https://www.linkedin.com/in/james-catalano-33463771/,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/3c4cffd1547d42e9a5c4a800fadf37e2.jpg,WEBSITE - https://cicada.xyz/
CHARON FLOWERS,MAPLE,BypassLines,CEO & Co-founder,"she/her/hers

Charon has over 20 years of experience in workforce development, communications and project management. She has a Bachelor of Science from Xavier University of Louisiana and Master of Public Health from Tulane University.  Charon is a native New Orleanian who enjoys exploring creative ideas and discovering new tech innovations.",,https://twitter.com/bypasslines,,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/4c514ad0871f496490386463b6dccdfb.jpeg,WEBSITE - https://www.bypasslines.com/
RAINA,VALLOT,"Power Pump Girls, Inc.",Co-founder,"she/her/hers

A journey that began with a pair of suede fuchsia pumps, Sherin Dawud and Raina Vallot founded Power Pump Girls, Inc. in 2017 with the belief that women are better together. They set out to create intentional gatherings for women to build relationships that ultimately impacted culture. From hosting social brunches to advocating for women’s rights legislation, the organization’s resume is as diverse and unconventional as its founders. As the Power Pump Girls sisterhood grew, Sherin and Raina began taking on speaking engagements and hosting opportunities to discuss topics of authenticity, community building, brand strategy and more. Now considered thought leaders and social impact engineers, Sherin and Raina continue to challenge the status quo and empower others along the way.",https://www.facebook.com/powerpumpgirlsinc,https://twitter.com/powerpumpgirls,https://www.linkedin.com/in/raina-vallot-564858115/,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/d68586d3e89d4c729027fe16285861aa.jpg,WEBSITE - http://www.powerpumpgirls.org
DAVID T.,HARGROVE,2Brothers1Love,Chef,"David T. Hargrove was born in Tallulah, LA October 1st 1983. After the summer of his high school graduation, his journey began first by joining the United States Marine Corps for four years of active duty service; however, to later transfer colleges to pursue his true love & passion which was cooking so he landed at the college he believed to be the perfect match; but being open to more he was accepted to later earn a bachelor's degree in culinary arts at The Culinary Institute of America Hyde Park, NY. He decided shortly after graduating college to live in Brooklyn, NY was the right move for a year or more and that moving back to Louisiana was one of the things that he must do in order to share what he had learned with his family and friends. David became in tune with the kitchen by seeing the true meaning of garden to table from his family.",https://www.facebook.com/2Brothers1Love,https://twitter.com/beachbumholla,,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/26e169e61abc4186b2c3a43f71c50223.jpeg,INSTAGRAM - https://www.instagram.com/2brothers1love/ ; WEBSITE - https://2brothers1love.com/
HANNAH,CURRY,Fleurish Printing,Director,"she/her/hers

Hannah Curry is the Program Director of Fleurish Printing. She graduated with an undergraduate degree in cross cultural studies and a master’s in business administration with a concentration in community and economic development. Hannah then worked for a nonprofit in Miami doing grassroots community development and empowering people to start their own grass roots businesses. Before being led into ministry and business, she studied to be a teacher, and though her career path changed, her passion for working with students remains. She now gets to put her passions and degrees to use, running a social enterprise and working with students. Hannah loves her adorable puppy Miles, vegan food, and doing yoga in her backyard.",,,,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/74bef7405fee43e5b643c7268b71e869.jpg,WEBSITE - https://www.fleurishprinting.com/
CAROLINE,FAROUKI,Farouki Farouki,Partner,"Caroline Farouki is partner and co-founder of the award-winning architecture and interior design firm, Farouki Farouki.  Since founding their firm in 2015, Caroline and her partner, Sabri, have created thoughtful and crafted restaurants, hotels, multi-family interiors, and residential buildings all across the country and the Carribbean.  Caroline is a graduate of the Masters of Fine Arts in Interior Design program at the Savannah College of Art and Design (SCAD). Prior to SCAD, she studied Architecture and Environmental Studies at Washington University in St. Louis.  Caroline is a native of Lafayette, Louisiana and currently resides in New Orleans with her husband, Sabri, and their sons, Remy and Mazin.",,,,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/a50637efff854a3786af582a154dbee2.jpg,WEBSITE - http://www.faroukifarouki.com/
JORDAN,RHEA,Raire Label,Co-Founder,"she/her/hers

Originally from Tulsa, Oklahoma - Jordan made her move to Louisiana over 10 years ago to play basketball at McNeese State in Lake Charles. After graduating with degrees in psychology and human + health performance, the state became her home. 

It would be permissible to describe Jordan as a Jack of all Trades. Over the past few years she has made career switches from: Division I women’s basketball coach, experienced mixologist, men’s grooming specialist, to lifestyle manager. 

At this time, Jordan runs Raire Label alongside Rashad Tyler, full time. Raire Label is a creative agency specializing in strategy and execution. From A-Z the firm works with brands and businesses on: visual identity, marketing tactics, campaign graphics, web development and more.

When Jordan isn't working you'll probably find her trying a new restaurant, Netflix and chillin' or listening to trap rap.",,https://twitter.com/iamjordanrhea,https://www.linkedin.com/in/iamjordanrhea/,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/fb1d38cce7334760b1ea93e03c2b7fab.jpg,WEBSITE - https://rairelabel.squarespace.com/
CHERISE JANAE,LOCKETT,Material Institute,Photographer | Gaphic Artist | Designer,"she/her/hers

Cherise Lockett is a photographer, graphic artist, and designer that has being deeply inspired by growing up in anew Orleans. Her goal is to combine her gifts and talents and create a means to showcase, empower, grow other artists.",,,,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/d2b69df8911f4cb899c3a97f421dedd8.jpeg,INSTAGRAM - https://www.instagram.com/artista.janae.fashionfanatic/
DAVID,BARKSDALE,Alluvian Capital,Principal,"he/him/his

David Barksdale is Principal of Alluvian Capital, LLC, a private investment firm with diversified holdings in technology, healthcare and real estate ventures.  David was formerly Co-Chairman and Chief Executive Officer of Spread Networks, prior to the sale of the company to Zayo Communications in 2018. During his tenure as CEO, Spread Networks completed construction of its groundbreaking Chicago to New Jersey low-latency fiber optic network and expansion of lit services throughout the greater Chicago and New York markets.  

David previously worked as a corporate attorney in the New York offices of Cleary, Gottlieb, Steen & Hamilton LLP. He received a J.D. degree from New York University School of Law and a B.A. from Tulane University.  

He is currently a  member of the board of directors of Sanderson Farms, Board Chair of The Idea Village, and Board Treasurer of the Greater New Orleans Foundation.  He is a former trustee of Tulane University, the National World War II Museum, and the New Orleans BioInnovation Center.",,,,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/214f2e25d54b4c9788ca95f51a960903.jpg,
SEVETRI,WILSON,Resilia,Founder & CEO,"Sevetri Wilson is the Founder and CEO of technology startup Resilia, founded in 2016. 

In 2020, Sevetri became one of the only 50 Black women in the U.S. to have raised over $10M in venture funding. In September 2020, Sevetri was named a Rising Star on the Forbes Cloud 100 List. Resilia was named to Venture Beat’s top startups to watch out for in 2019; also in 2019, Sevetri was named to Inc. Magazine’s 100 Female Founders building world-changing companies and to PitchBook’s 27 leading black founders and investor list. 

Prior to Resilia, she founded Solid Ground Innovations, LLC., a strategic communications agency and authored Solid Ground: How I Built a 7 Figure Company at 22 with Zero Capital. Her new book, Resilient: How to Overcome Anything and Build a Million Dollar Business With or Without Capital will be released on April 6 and is available for pre-order.",,https://twitter.com/sevetriwilson,https://www.linkedin.com/in/sevetriwilson/,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/9d11912a1ccb4777a6a528b8811677e2.jpg,WEBSITE - https://www.resilia.com/
MELANIE,ASKEW,Élan Academy Charter School,Founder and Head of School,"she/her/hers

Melanie Askew is the Founder and Head of School of Élan Academy Charter School in Algiers. Beginning her career in education as a research assistant in the Department of Special Education at Vanderbilt University’s Peabody College, Ms. Askew confronted the large disparities across special education and gifted education for students of color. With the drive to close the opportunity gap for all children, she has worked as a founding teacher, instructional coach, curriculum content specialist, adjunct professor, and educational consultant. Ms. Askew was a 2015 B.E.S Fellow. She holds a Bachelors of Science in Human and Organizational Development and a Masters of Education in Organizational Leadership from Vanderbilt University's Peabody College. She is currently pursuing a doctorate in Leadership and Learning in Organizations at Vanderbilt University's Peabody College. With a committed team, she is humbled at and driven towards the opportunity to lead an excellent school that provides a quality option rooted in the voices of the community of New Orleans.",,,https://www.linkedin.com/in/melanieaskew1/,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/7eedfdf9dd314ca1a1cb52b16caf71c5.jpg,WEBSITE - https://www.elanacademy.org/
TATUM,NEILL,Elevate Hair TV,Founder / Creative Director,"Hairdresser, DJ, Social Media Guru and now host of Elevate TV, Tatum Neill is creative savant pushing the boundaries of fashion and digital communication. You can catch him live at his traveling underground hair shows or now every Friday night on YouTube.",,,,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/2e5665055dd3452092aecd16f7c00f71.png,WEBSITE - https://elevatehair.com/ ; ELEVATE INSTAGRAM - https://www.instagram.com/elevatehair/ ; INSTAGRAM - https://www.instagram.com/tatumneill/
DON,PIERSON,Louisiana Economic Development (LED),Secretary,"In January 2016, Louisiana Gov. John Bel Edwards appointed Don Pierson, CEcD, to serve as Secretary of Louisiana Economic Development. Pierson had served as LED Assistant Secretary and Senior Director of Business Development since January 2005.

With executive-level leadership, his duties include the implementation of domestic and international economic development programs, and job retention and creation efforts for the State of Louisiana.

He is Gov. John Bel Edwards’ primary representative to governmental officials, local communities, and site selector consultants on all economic issues. Pierson possesses three decades of economic development experience, and is a certified economic development professional.",,https://twitter.com/LEDLouisiana,https://www.linkedin.com/company/louisiana-economic-development,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/c7b931a2b69842709f957f239d60e001.jpeg,WEBSITE - https://www.opportunitylouisiana.com/about-led/leadership-bios
SARA,DESHPANDE,Maven Ventures,Partner,"Sara Deshpande is a Partner at Maven Ventures, a leading seed venture fund investing in software companies that millions of consumers use everyday to make their lives better. She invests broadly in high growth consumer software, with a focus on mobile, digital health, family tech, marketplaces, alternative protein, and other emerging consumer trends. Since joining Maven as the first employee in 2014, Sara has been part of over 30 investments and 9 exits including Zoom (IPO, “ZM”), Cruise (acquired by GM), and Chariot (acquired by Ford). Select investments include Gennev, Wild Type, Frame, Pledgeling, Daybreak Health, Hello Heart, Carrot Fertility, Embark, Nuggs, and Eden.

Sara has advised and invested in consumer and tech startup founders around the globe for over 12 years. She is a lecturer on entrepreneurship at the Stanford GSB, a frequent speaker on early stage funding and startup trends, and is a regular contributor to Forbes on Venture Capital. Previously, she managed an accelerator and programming for hundreds of startups at The Idea Village, an entrepreneurship engine in New Orleans, and was a management consultant in the Healthcare Strategy practice at Deloitte. Sara holds a BS in Finance from Xavier University in Cincinnati, Ohio and an MBA from Stanford University.",,,https://www.linkedin.com/in/saradeshpande/,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/6d81620178634a6faac0b3a0c05c702b.jpg,WEBSITE - http://https://www.mavenventures.com/
WENDY,BRUNET BURNS,Newburns Management Group,"Co-owner, Vice President and Chief Operating Officer","she/her/hers

The Co-Managing Partner of Westwin Business and Newburns Management Group which owns locations in Airports all over the country.  Newburns Management Group is a business partner with The Hudson Group in St. Louis, Washington DC, Little Rock, and Orlando Airports with sales of more than $25 million per year. She is also business partners with Starbucks in the New Jersey and Milwakuee Airports. Newburns are business partners with Shake Shack, Vera Bradley and Eddie Bauer.  She has more than two decades for retail management and merchandising experience. She oversees all aspects of the business operations, marketing, recruiting, creating new concepts, monitoring the POS system and ensuring compliance with the principles of Westwin News. She specializes in design and developing product lines and marketing for couture, home accents, and fine fragrances.  Burns has a sharp eye for how businesses are managed and how they can retool for a sleeker, smoother, and a more profitable presentation.  She was involved in the product marketing for Donna Karan and Marilyn Miglin with duties including technical training, projecting, budgeting, and monitoring results of operations.   She has a bachelor degree in Social Counseling and a minor in marketing from Holy Cross College. She was recognized in the African American 2001 Success Guide as successful women in business. Newburns Management Group was recognized as Small Business of the year at AMAC conference 2019. She is a member of AMAC (Airport Minority Advisory Council), a board member of the French Market Corporation, a member of Jack and Jill of America and a member of the National Arts Foundation. She also serves as a mentor to many young professionals.",,,,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/f341cc063f9d4feca76d7d9d419eb58c.jpeg,
GUY,WILLIAMS,Gulf Coast Bank & Trust,President and CEO,"Since 1990, Guy Williams has held the title of President and CEO of Gulf Coast Bank & Trust. Leading an investment group that purchased what was then known as American Savings, Guy has spent the last 31 years building the institution into a community, people-first bank, prioritizing top-class services and ease for their customers. With 19 branch locations in Southeast Louisiana and 45 total across 13 states, Gulf Coast Bank holds $2.3b in assets and reported record growth in 2020. Guy is a graduate of Emory University and holds an MBA from Georgia State University.",,,https://www.linkedin.com/in/guy-williams-561a6638/,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/9c1c1ec92ebc41ff97938883d3ec06b3.jpg,WEBSITE - https://www.gulfbank.com/
NINA,COMPTON,Compère Lapin | Bywater American Bistro,Chef and Owner,"Winner of the 2018 James Beard Awards “Best Chef: South” and one of Food & Wine magazine’s Best New Chefs 2017, Nina Compton is Chef/Owner of award-winning Compère Lapin and highly acclaimed Bywater American Bistro (BABs) in New Orleans. 

Born and raised in St. Lucia, Nina grew up with the flavors and beauty of the Caribbean. At Compère Lapin, Nina creates robust dishes that meld the flavors of her Caribbean upbringing and love for French and Italian cuisine, while highlighting the Gulf and Louisiana’s beautiful indigenous ingredients.
 
Since opening in June 2015, Compère Lapin has received critical acclaim including Eater National's Best Restaurants in America 2017; a rave review in The New York Times, and Top 10 Winner of Playboy's Best New Bars in America 2016. Bywater American Bistro – which opened March 2018 – has been named Eater National's Best New Restaurants in America 2018.",,,,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/aef67bf7df9e4565b5c2001693adad7b.jpg,BYWATER AMERICAN BISTRO - http://bywateramericanbistro.com/ ; COMPÈRE LAPIN - http://comperelapin.com/ ; INSTAGRAM - https://www.instagram.com/ninacompton/
TIYANA,JORDAN,THE SPACE,Founder,"Tiyana Jordan, professional writer, children’s book author and business owner has grounded her career in being of service through her words. Former Essence Magazine Editor, moderator for Forbes the Culture and contributor for ATT’s Dream in Black—-It is her dedication to small business development, communication strategies and the thrill in watching content connect and effect targeted markets in the most purposely reach. A mother of two sons, Tiyana is adamant that representation in content matters and it is a responsibilty to create what is reflective and real.",,,,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/2dbc65c1040d47158e0743ce9b6dc599.jpg,WEBSITE - https://www.thespacenola.com/ ; INSTAGRAM - https://www.instagram.com/thespace_nola
ROBIN,BARNES,Move Ya Brass/ Robin Barnes Music,Founder,"Billboard charting artist, International culture ambassador, the New Orleans Songbird and founder of fitness movement Move Ya Brass, Robin Barnes is a trailblazer. Born and raised, New Orleanian, Robin says she is living her dream and hopes to inspire others to do the same.",,,,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/fbd1e0b745534a2eac9bcb79c4fa14d2.jpg,ROBIN BARNES MUSIC - https://robinbarnesmusic.com/ ; MOVE YA BRASS - https://moveyabrass.com/
GLBL,WRMNG,,Artists | Producers,"[photo credit: Trenity Thomas]

Since he came on the scene in 2014, Pell’s been synonymous with ambition. His first mixtape, Floating While Dreaming, captured the spirit of dreaming big and wanting more. Featuring production from Ludwig Goransson (Childish Gambino) and others, Floating While Dreaming announced the arrival of a thoughtful, multifaceted Nola talent. Pell can cut a party record in the tradition of Cash Money and also tap into the city’s R&B scene for a mellow slow jam with all live instrumentation.

Pell’s latest venture? Rebuilding his strong and vibrant hometown with GLBL WRMNG - a new hyper-local NOLA collective of 20+ local artists and producers including Malik NinetyFive, Jzzle, Jelly of Tank and the Bangas, Lil Iceberg, Kr3wcial, and more. On February 19th, GLBL WRMNG will release glbl wrmng vol. 1, an ode to the strength and resilience of their beloved hometown and emphasizes the city’s heroic survival.

The R&B side of the city is a fundamental part of glbl wrmng vol. 1, which has been gestating for years. The album aims to capture the beauty, vibrancy, and, most importantly, resiliency of New Orleans—a city that can attest to the harsh realities of climate change—while simultaneously showcasing the artists and producers who are reinventing the city’s sound. It features over 15 different collaborators, fulfilling Pell’s desire to create a platform for a side of the city he says isn’t represented in contemporary hip-hop. While many of the collaborators are close friends of Pell’s, some are folks he’s only known for a year or less—but it doesn’t matter, because sharing the spotlight is the point.

The lead single “504” is an instant anthem that encapsulates the project’s mission perfectly. Joined by Kr3wcial and $leazey EZ, Pell intertwined his own success and drive with the indomitable strength of his hometown, telling all the naysayers that this song will soundtrack their second line. The song rides out with live horns joining the beat, a blend that reflects the rich musical history of New Orleans.

Glbl wrmng vol. 1, just the first entry in what will hopefully be a long series, delivers the richness of New Orleans in 16 tracks, shading in every color and emotion that makes the city one of the world’s gems.",https://www.facebook.com/glblwrmng,https://twitter.com/GLBLWRMNG504,,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/eeca3133a48b4db3bc3513ea32ab5466.png,INSTAGRAM - https://www.instagram.com/glblwrmng504/
WALTER,ISAACSON,Tulane University,Leonard Lauder Professor of History,"he/him/his

Walter Isaacson, a professor of history at Tulane, has been the CEO of the Aspen Institute, where he is now a Distinguished Fellow, the chairman of CNN, and the editor of TIME magazine. He is a host of the show “Amanpour and Company” on PBS and CNN, a contributor to CNBC, and host of the podcast “Trailblazers, from Dell Technologies.” He is also an advisory partner at Perella Weinberg, a financial services firm based in New York City.

Isaacson is the author of Leonardo da Vinci (2017), The Innovators: How a Group of Hackers, Geniuses, and Geeks Created the Digital Revolution (2014), Steve Jobs (2011), Einstein: His Life and Universe (2007), Benjamin Franklin: An American Life (2003), and
Kissinger: A Biography (1992), and coauthor of The Wise Men: Six Friends and the World They Made (1986).

Isaacson was born on May 20, 1952, in New Orleans. He is a graduate of Harvard College and of Pembroke College of Oxford University, where he was a Rhodes Scholar. He began his career at The Sunday Times of London and then the New Orleans Times-Picayune. He joined TIME in 1978 and served as a political correspondent, national editor, and editor of digital media before becoming the magazine’s 14th editor in 1996. He became chairman and CEO of CNN in 2001, and then president and CEO of the Aspen Institute in 2003.

He is chair emeritus of Teach for America. He was the vice-chair of the Louisiana Recovery Authority, which oversaw the rebuilding after Hurricane Katrina. He was appointed by President Barack Obama to serve as the chairman of the Broadcasting Board of Governors, which runs Voice of America, Radio Free Europe, and other international broadcasts of the United States.

He is a member of the American Academy of Arts and Sciences, the Royal Society of the Arts, the American Philosophical Society, and the Society of American Historians, of which he served as president in 2012. He serves on the board of United Airlines, Halliburton Labs, and Bloomberg Philanthropies.",,https://twitter.com/walterisaacson,https://www.linkedin.com/in/walter-isaacson-b8b81520/?trk=author_mini-profile_title,https://custom.cvent.com/a8c8ec4c05104789a0eb595eac25b252/files/event/6d45431e0aef41c8b8ac9ec3f7c1d5b1/fe67449f443c4bf9822f8247707ff8d3.jpg,
